Months,Results
w1,20000
w2,27900
w3,38600
w4,42000
w5,48200
w6,56500
w7,61200
w8,70400
w9,70400
w10,70400
w11,89300
w12,89800
w13,89300
w14,89400
w15,89300
w16,89300
w17,110000
w18,110000
w19,110000
w20,110000
w21,110000
w22,110000
w23,122000
w24,121000
w25,121000
w26,121000
w27,121000
w28,121000
w29,131000
w30,131000
w31,137000
w32,131000
w33,131000
w34,131000
w35,142000
w36,142000
w37,142000
w38,142000
w39,142000
w40,142000
w41,151000
w42,151000
w43,152000
w44,151000
w45,152000
w46,151000
w47,162000
w48,161000
w49,161000
w50,161000
w51,173000
w52,162000
w53,175000
w54,172000
w55,172000
w56,172000
w57,174000
w58,172000
w59,183000
w60,180000
w61,180000
w62,179000
w63,191000
w64,179000
w65,188000
w66,189000
w67,187000
w68,194000
w69,190000
w70,189000
w71,197000
w72,279000
w73,287000
w74,196000
w75,278000
w76,196000
w77,206000
w78,429000
w79,418000
w80,291000
w81,297000
w82,305000
w83,309000
w84,448000
w85,430000
w86,215000
w87,454000
w88,419000
w89,468000
w90,465000
w91,474000
w92,468000
w93,463000
w94,1050000
w95,2050000
w96,1950000
w97,1090000
w98,2440000
w99,2040000
w100,2450000
w101,2880000
w102,2750000
w103,2050000
w104,3240000
