Months,Results
w1,6210000
w2,9540000
w3,13500000
w4,12700000
w5,20200000
w6,21600000
w7,19200000
w8,33300000
w9,32300000
w10,28200000
w11,34700000
w12,37100000
w13,39100000
w14,37400000
w15,42200000
w16,45500000
w17,47400000
w18,52000000
w19,44700000
w20,53600000
w21,53000000
w22,56700000
w23,55400000
w24,62400000
w25,74100000
w26,65100000
w27,63400000
w28,65300000
w29,81200000
w30,95500000
w31,65000000
w32,82100000
w33,86700000
w34,97300000
w35,93600000
w36,87200000
w37,91200000
w38,95000000
w39,77500000
w40,94100000
w41,102000000
w42,99500000
w43,101000000
w44,113000000
w45,102000000
w46,91100000
w47,116000000
w48,142000000
w49,124000000
w50,122000000
w51,94100000
w52,112000000
w53,127000000
w54,111000000
w55,129000000
w56,135000000
w57,128000000
w58,126000000
w59,130000000
w60,137000000
w61,155000000
w62,132000000
w63,140000000
w64,138000000
w65,152000000
w66,148000000
w67,138000000
w68,142000000
w69,119000000
w70,142000000
w71,136000000
w72,145000000
w73,143000000
w74,128000000
w75,138000000
w76,143000000
w77,131000000
w78,149000000
w79,137000000
w80,145000000
w81,142000000
w82,124000000
w83,152000000
w84,139000000
w85,133000000
w86,166000000
w87,102000000
w88,144000000
w89,129000000
w90,146000000
w91,150000000
w92,151000000
w93,154000000
w94,149000000
w95,161000000
w96,178000000
w97,139000000
w98,142000000
w99,167000000
w100,160000000
w101,141000000
w102,147000000
w103,145000000
w104,172000000
