Months,Results
M105,12300
M104,12300
M103,12300
M102,12200
M101,12200
M100,13500
M99,13500
M98,13500
M97,13400
M96,13400
M95,13400
M94,15200
M93,13800
M92,15500
M91,15400
M90,15400
M89,14700
M88,18700
M87,18300
M86,18700
M85,18200
M84,18600
M83,18900
M82,21100
M81,21000
M80,20700
M79,20500
M78,20800
M77,21200
M76,22000
M75,22500
M74,22400
M73,22300
M72,22400
M71,22100
M70,24000
M69,23700
M68,23700
M67,24100
M66,23800
M65,24600
M64,25700
M63,25100
M62,25600
M61,25500
M60,23600
M59,24800
M58,27300
M57,26800
M56,27400
M55,27000
M54,27600
M53,28000
M52,29500
M51,28600
M50,29000
M49,29300
M48,29000
M47,32800
M46,31400
M45,31200
M44,31800
M43,31600
M42,31500
M41,33200
M40,32200
M39,33100
M38,32800
M37,32800
M36,32800
M35,34500
M34,34800
M33,34100
M32,34200
M31,35000
M30,32100
M29,37100
M28,36800
M27,31800
M26,32400
M25,31800
M24,31300
M23,32000
M22,31200
M21,29900
M20,27700
M19,24600
M18,25000
M17,30600
M16,24700
M15,24000
M14,22800
M13,20800
M12,18100
M11,19600
M10,20700
M9,16500
M8,17300
M7,15500
M6,17200
M5,14960
M4,14060
M3,15580
M2,13330
M1,9250
