Months,Results
w2,26700
w3,36300
w4,42500
w5,42700
w6,47000
w7,48900
w8,56900
w9,56500
w10,54600
w11,67600
w12,70400
w13,70400
w14,67600
w15,68000
w16,67600
w17,82200
w18,79600
w19,79600
w20,79600
w21,79500
w22,79500
w23,92900
w24,91100
w25,93500
w26,98300
w27,91100
w28,91100
w29,102000
w30,102000
w31,102000
w32,102000
w33,102000
w34,105000
w35,112000
w36,117000
w37,112000
w38,112000
w39,112000
w40,112000
w41,121000
w42,126000
w43,121000
w44,121000
w45,127000
w46,123000
w47,129000
w48,129000
w49,129000
w50,129000
w51,129000
w52,129000
w53,144000
w54,137000
w55,137000
w56,137000
w57,137000
w58,137000
w59,145000
w60,145000
w61,145000
w62,147000
w63,147000
w64,160000
w65,162000
w66,152000
w67,162000
w68,161000
w69,162000
w70,168000
w71,158000
w72,168000
w73,168000
w74,168000
w75,168000
w76,174000
w77,175000
w78,175000
w79,165000
w80,165000
w81,165000
w82,182000
w83,172000
w84,182000
w85,172000
w86,177000
w87,172000
w88,179000
w89,190000
w90,190000
w91,190000
w92,190000
w93,179000
w94,197000
w95,283000
w96,197000
w97,191000
w98,186000
w99,197000
w100,199000
w101,194000
w102,194000
w103,194000
w104,194000
