Months,Results
M105,34800
M104,41900
M103,30300
M102,36200
M101,30200
M100,36800
M99,40700
M98,33500
M97,35600
M96,32400
M95,44800
M94,44100
M93,37900
M92,47000
M91,38000
M90,42000
M89,34400
M88,38300
M87,42400
M86,43800
M85,50100
M84,46300
M83,43300
M82,49000
M81,49400
M80,45500
M79,45700
M78,45400
M77,48400
M76,48700
M75,42800
M74,47300
M73,53000
M72,48900
M71,46500
M70,48500
M69,43800
M68,47400
M67,43000
M66,50600
M65,57100
M64,51800
M63,53500
M62,47900
M61,55200
M60,52300
M59,51800
M58,49100
M57,51500
M56,44200
M55,48200
M54,47500
M53,52400
M52,49700
M51,46500
M50,54200
M49,53700
M48,43500
M47,54700
M46,47400
M45,41900
M44,53300
M43,48800
M42,51100
M41,49600
M40,55200
M39,47700
M38,49100
M37,49200
M36,55200
M35,49200
M34,48600
M33,48400
M32,47400
M31,45100
M30,41300
M29,48600
M28,46800
M27,48400
M26,44300
M25,48400
M24,41500
M23,49100
M22,34600
M21,39400
M20,36700
M19,34100
M18,32900
M17,39100
M16,37000
M15,36100
M14,33900
M13,32300
M12,28000
M11,31900
M10,37200
M9,31600
M8,35200
M7,32500
M6,29600
M5,32700
M4,30400
M3,30920
M2,26440
M1,17930
