Months,Results
w2,15600
w3,19600
w4,23900
w5,26700
w6,31100
w7,32200
w8,36000
w9,38800
w10,39100
w11,48700
w12,46200
w13,48700
w14,48500
w15,46600
w16,47100
w17,53200
w18,53200
w19,54900
w20,51800
w21,51500
w22,53200
w23,62500
w24,58400
w25,58300
w26,62800
w27,62400
w28,59400
w29,61500
w30,68400
w31,60600
w32,63700
w33,68000
w34,59500
w35,73200
w36,65200
w37,70600
w38,72600
w39,65200
w40,68200
w41,78300
w42,73900
w43,72900
w44,71500
w45,79000
w46,72700
w47,83400
w48,83400
w49,77800
w50,85200
w51,83700
w52,82900
w53,87300
w54,96600
w55,84600
w56,95700
w57,92600
w58,96900
w59,88900
w60,102000
w61,88900
w62,102000
w63,101000
w64,91100
w65,107000
w66,104000
w67,102000
w68,107000
w69,91700
w70,111000
w71,107000
w72,107000
w73,107000
w74,107000
w75,106000
w76,110000
w77,110000
w78,111000
w79,107000
w80,97300
w81,112000
w82,116000
w83,111000
w84,102000
w85,114000
w86,114000
w87,107000
w88,119000
w89,115000
w90,113000
w91,118000
w92,118000
w93,118000
w94,123000
w95,126000
w96,123000
w97,124000
w98,124000
w99,124000
w100,131000
w101,130000
w102,128000
w103,117000
w104,130000
