Months,Results
w1,768
w2,932
w3,1120
w4,1180
w5,1320
w6,1450
w7,1480
w8,1860
w9,1860
w10,1870
w11,2350
w12,2360
w13,2360
w14,2360
w15,2360
w16,2360
w17,2810
w18,2810
w19,2810
w20,2810
w21,2810
w22,2810
w23,3320
w24,3270
w25,3270
w26,3320
w27,3320
w28,3320
w29,3800
w30,3850
w31,3820
w32,3870
w33,3840
w34,3820
w35,4540
w36,4570
w37,4540
w38,4540
w39,4540
w40,4540
w41,24400
w42,24500
w43,24300
w44,24500
w45,24500
w46,24300
w47,25700
w48,25700
w49,25900
w50,25700
w51,25900
w52,25700
w53,27500
w54,27700
w55,27700
w56,27500
w57,27700
w58,27700
w59,31400
w60,31400
w61,31400
w62,31400
w63,31200
w64,31200
w65,41100
w66,35100
w67,35400
w68,35100
w69,35400
w70,35400
w71,39200
w72,38100
w73,39500
w74,39500
w75,39400
w76,39500
w77,42500
w78,42500
w79,42800
w80,41300
w81,41300
w82,42500
w83,51600
w84,44600
w85,45500
w86,51200
w87,45700
w88,47700
w89,46400
w90,48000
w91,46300
w92,46400
w93,48900
w94,57800
w95,51700
w96,49000
w97,51600
w98,49000
w99,51900
w100,52800
w101,51200
w102,53700
w103,53700
w104,54000
